"trans_type_key,trans_shrt_nm,trans_lng_nm,trans_db_cr_ind"
"483,PMBLN FLAZZ VIA EDC,PEMBELIAN FLAZZ VIA EDC,D"
"507,PMBELN VIA SMS,PEMBELIAN VIA SMS ,D"
"524,PMBYRN/PMBLN VIA ATM ,PEMBAYARAN/PEMBELIAN VIA ATM ,D"
"550,TRF ATM  VA DB,TRANSFER VIA ATM  VIRTUAL ACCOUNT DB,D"
"551,TRF IB  VA DB,TRANSFER VIA IB  VIRTUAL ACCOUNT DB,D"
"552,TRF IB-SME  VA DB,TRANSFER VIA IB-SME  VIRTUAL ACCOUNT DB,D"
"573,PMBELN VIA KLIKPAY,PEMBELIAN VIA KLIKPAY,D"
"640,PMBELN VIA ATM EAI,PEMBELIAN VIA ATM EAI,D"
"644,TRF MB  VA DB,TRANSFER VIA MB  VIRTUAL ACCOUNT DB,D"
"726,PMBELN VIA SAKUKU,PEMBELIAN VIA SAKUKU,D"
"734,BYR/BELI VIA ATM EAI,PEMBAYARAN/PEMBELIAN VIA ATM EAI,D"
"754,PEMBELIAN DISERTAI TUNAI ,PEMBELIAN DISERTAI TUNAI VIA EDC LAIN,D"
"759,BYR/BELI VIA SMS,PEMBAYARAN/PEMBELIAN VIA SMS ,D"
"763,PMBLN PGW ,PEMBELIAN PAYMENT GATEWAY ,D"
"765,TRF KBBIS  VA DB,TRANSFER VIA KBBIS  VIRTUAL ACCOUNT DB,D"
"786,TRF OMNI WEB  VA DB,TRANSFER VIA OMNI WEB  VIRTUAL ACCOUNT DB,D"
"814,PMBELN VIA DUITT,PEMBELIAN VIA DUITT,D"
"815,KOR PMBELN VIA DUITT,KOREKSI PEMBELIAN VIA DUITT,K"
"828,TRF DUITT  VA DB,TRANSFER VIA DUITT  VIRTUAL ACCOUNT DB,D"
"831,TRF OMNI MB  VA DB,TRANSFER VIA OMNI MOBILE  VIRTUAL ACCOUNT DB,D"
"835,PMBLN DB  VIA EDC 3RD PARTY,PEMBELIAN DB  VIA EDC  THIRD PARTY,D"
"836,PMBLN NC  VIA EDC 3RD PARTY,PEMBELIAN NC DB VIA EDC  THIRD PARTY,D"
"842,PMBELN VIA LAKU,PEMBELIAN VIA LAKU,D"
"843,KOR PMBELN VIA LAKU,KOREKSI PEMBELIAN VIA LAKU,K"
"844,TRF LAKU  VA DB,TRANSFER VIA LAKU  VIRTUAL ACCOUNT DB,D"
"876,PMBLN VIA EDC LAIN ECOMM,PEMBELIAN DB  VIA EDC LAIN (ECOMMERCE),D"
"877,PMBLN VIA EDC  ECOMM,PEMBELIAN DB  VIA EDC  (ECOMMERCE),D"
"881,PMBLN CC  VIA EDC 3RD PRT,PEMBELIAN CC  VIA EDC  THIRD PARTY,D"
"882,PMBLN NC CC  VIA ED 3RD PRT,PEMBELIAN NC CC VIA EDC  THIRD PARTY,D"
"897,TRF VIA EDC  VIA ACCT DB,TRANSFER VIA EDC  VIRTUAL ACCOUNT DB,D"
"179,PMBELN VIA SME,PEMBELIAN VIA IB-SME,D"
"150,PMBELN VIA IB,PEMBELIAN VIA IB,D"
"148,PMBELN VIA ATM,PEMBELIAN VIA ATM ,D"
"152,PMBELN VIA MB,PEMBELIAN VIA MB,D"
"58,PMBLN VIA EDC,PEMBELIAN DB  VIA EDC ,D"
"158,PMBELN VIA EDC LAIN,PEMBELIAN DB  VIA EDC LAIN,D"
"293,PMBLN VIA EDC ,PEMBELIAN NC CC VIA EDC ,D"
"305,BYR/BELI VIA ATM,PEMBAYARAN/PEMBELIAN VIA ATM ,D"
"306,BYR/BELI VIA IB,PEMBAYARAN/PEMBELIAN VIA IB,D"
"307,BYR/BELI VIA MB,PEMBAYARAN/PEMBELIAN VIA MB,D"
"308,BYR/BELI VIA IB-SME,PEMBAYARAN/PEMBELIAN VIA IB SME,D"
"335,PMBYRN/PMBLN VIA BP,PEMBAYARAN/PEMBELIAN VIA  BY PHONE,D"
"288,PMBLN DGN TUNAI,PEMBELIAN DISERTAI TUNAI NC DB VIA EDC ,D"
"319,PMBELN VIA BP,PEMBELIAN VIA  BY PHONE,D"
"287,PMBELN VIA EDC ,PEMBELIAN NC DB VIA EDC ,D"
"237,PMBLN DGN TUNAI,PEMBELIAN DISERTAI TUNAI DB VIA EDC ,D"
"275,PMBELN VIA EDC,PEMBELIAN CC  VIA EDC ,D"
"285,PMBELN VIA ATM ,PEMBELIAN NON CUST VIA ATM ,D"
"358,PMBELN VIA EDC LAIN,PEMBELIAN CC  VIA EDC LAIN,D"
"411,SMS TOP UP,PEMBELIAN VIA SMS TOP UP,D"
